Liste des imposables :
+--------+--------------------+------------------------------+------------+------------+------------+------------+------+
|Contrib.|Nom Prenom          |Lieu                          |Total       |Commune     |Dept.       |Region      |Occs  |
|49842273|Lejeune, Thierry    |MEOLANS-REVEL, ALPES-DE-HAUTE-|  139 039.00|   41 503.00|   28 877.00|   68 659.00|     7|
|50284958|Clement, Patrick    |LA CHAPELLE-DU-MONT-DU-CHAT, S|   12 645.00|    4 510.00|    3 783.00|    4 352.00|     4|
|50686998|Marechal, Emmanuelle|SACQUENVILLE, EURE, HAUTE-NORM|  216 438.00|   65 098.00|   43 923.00|  107 417.00|     7|
|50973710|Philippe, Bernard   |BELMONT, GERS, MIDI-PYRENEES  |   56 734.00|   17 561.00|   13 151.00|   26 022.00|     6|
|51413157|Barre, Nicolas      |MELRAND, MORBIHAN, BRETAGNE   |   27 311.00|    8 507.00|    6 797.00|   12 007.00|     5|
|51986205|Leroux, Paul        |CASTILLON-LA-BATAILLE, GIRONDE|    2 726.00|      921.00|      915.00|      890.00|     1|
|52130283|Breton, Franck      |JANVRY, ESSONNE, ILE-DE-FRANCE|   73 724.00|   22 375.00|   15 894.00|   35 455.00|     3|
|52519261|Charles, Helene     |VIEUX-FUME, CALVADOS, BASSE-NO|   45 950.00|   14 525.00|   11 852.00|   19 573.00|     5|
|52533879|Masson, Hugo        |AUBEVOYE, EURE, HAUTE-NORMANDI|   27 086.00|    8 386.00|    6 279.00|   12 421.00|     4|
|53531136|Dupuy, Julie        |AVAILLES-SUR-SEICHE, ILLE-ET-V|   12 520.00|    4 005.00|    3 519.00|    4 996.00|     3|
|53552305|Rodriguez, Vanessa  |TRIZAY-LES-BONNEVAL, EURE-ET-L|   13 254.00|    4 142.00|    3 315.00|    5 797.00|     5|
|54401220|Roussel, Annie      |PUTTIGNY, MOSELLE, LORRAINE   |   38 134.00|   11 615.00|    8 246.00|   18 273.00|     2|
|54777607|Picard, Emma        |FRESNES-EN-TARDENOIS, AISNE, P|   98 896.00|   29 990.00|   21 109.00|   47 797.00|     6|
|55156782|Colin, Kevin        |EPLESSIER, SOMME, PICARDIE    |   22 032.00|    7 259.00|    7 387.00|    7 386.00|     7|
|55641587|Moreau, Antoine     |FERRIERE-LARCON, INDRE-ET-LOIR|   21 018.00|    6 934.00|    6 719.00|    7 365.00|     4|
|56079454|Perrin, Marine      |CHARNAY-LES-CHALON, SAONE-ET-L|   41 073.00|   12 618.00|    9 347.00|   19 108.00|     5|
|56220116|Dumont, Matthieu    |SAINT-MELANY, ARDECHE, RHONE-A|   18 439.00|    5 776.00|    4 627.00|    8 036.00|     5|
|56452696|Picard, Cecile      |SAINT-LAURENT-DES-BATONS, DORD|   11 582.00|    3 616.00|    2 882.00|    5 084.00|     5|
|57161628|Tessier, Gerard     |FRESNES-EN-WOEVRE, MEUSE, LORR|   45 038.00|   13 824.00|   10 157.00|   21 057.00|     4|
|57415028|Martinez, Sabrina   |LE MESNIL-ROBERT, CALVADOS, BA|   18 004.00|    5 827.00|    5 367.00|    6 810.00|     3|
|57465660|Lebrun, Valentin    |PEROLS, HERAULT, LANGUEDOC-ROU|   27 282.00|    8 444.00|    6 060.00|   12 778.00|     2|
|57470620|Renaud, Yannis      |MONTEYNARD, ISERE, RHONE-ALPES|    2 189.00|      700.00|      743.00|      746.00|     2|
|57660628|Caron, Isabelle     |MOUEN, CALVADOS, BASSE-NORMAND|    4 422.00|    1 486.00|    1 473.00|    1 463.00|     2|
|57819983|Monnier, Lucas      |SAINT-PAUL-DE-FOURQUES, EURE, |   56 874.00|   17 335.00|   12 479.00|   27 060.00|     4|
|58066807|Meunier, Evelyne    |GEISPOLSHEIM, BAS-RHIN, ALSACE|    7 194.00|    2 474.00|    2 386.00|    2 334.00|     1|
|58179560|Maillard, Pascal    |TROISVAUX, PAS-DE-CALAIS, NORD|    4 088.00|    1 290.00|    1 112.00|    1 686.00|     3|
|58283093|Le Goff, Patrice    |IGNY, ESSONNE, ILE-DE-FRANCE  |    6 330.00|    2 120.00|    2 105.00|    2 105.00|     1|
|58327865|Boulanger, Fabien   |LE MESNIL-LE-ROI, YVELINES, IL|   23 018.00|    7 204.00|    5 369.00|   10 445.00|     3|
|58777058|Fontaine, Dominique |MONTJAUX, AVEYRON, MIDI-PYRENE|  102 798.00|   31 016.00|   21 266.00|   50 516.00|     3|
|60169338|Rodriguez, Pascal   |VONGES, COTE-D'OR, BOURGOGNE  |   85 981.00|   26 722.00|   20 354.00|   38 905.00|     9|
|60197745|Antoine, Jean-Pierre|SAINT-VICTOR-DES-OULES, GARD, |   93 696.00|   28 681.00|   20 774.00|   44 241.00|     8|
|60475952|Boulanger, Fabien   |LES PLAINS-ET-GRANDS-ESSARTS, |    6 191.00|    1 857.00|    1 238.00|    3 096.00|     1|
|60775582|Colin, Annie        |SAVIGNAC-MONA, GERS, MIDI-PYRE|   30 151.00|    9 618.00|    8 112.00|   12 421.00|     5|
|60816889|Le Gall, Sabrina    |VINCY-MANOEUVRE, SEINE-ET-MARN|    7 452.00|    2 396.00|    2 444.00|    2 612.00|     4|
|61004167|Clement, Mathieu    |SAINT-PIERRE-D'IRUBE, PYRENEES|   15 284.00|    5 269.00|    4 931.00|    5 084.00|     4|
|61582805|Baron, Brigitte     |CERON, SAONE-ET-LOIRE, BOURGOG|    4 962.00|    1 654.00|    1 654.00|    1 654.00|     2|
|61592804|Dupuy, Elodie       |THENELLES, AISNE, PICARDIE    |   15 698.00|    5 269.00|    5 197.00|    5 232.00|     4|
|61643938|Nicolas, Jessica    |SAULXURES-LES-NANCY, MEURTHE-E|   64 643.00|   19 965.00|   14 884.00|   29 794.00|     4|
|62133219|Berger, Sandra      |REVEILLON, ORNE, BASSE-NORMAND|   15 869.00|    5 284.00|    5 249.00|    5 336.00|     5|
|62396018|Bernard, Jonathan   |BEDOUS, PYRENEES-ATLANTIQUES, |   24 982.00|    7 591.00|    8 555.00|    8 836.00|     5|
|62589232|Morel, Alexis       |SORBEY, MEUSE, LORRAINE       |   83 578.00|   25 423.00|   18 019.00|   40 136.00|     5|
|62897659|Meunier, Cyril      |FORTAN, LOIR-ET-CHER, CENTRE  |   11 915.00|    3 972.00|    3 996.00|    3 947.00|     3|
|63232020|Leger, Isabelle     |BOUTX, HAUTE-GARONNE, MIDI-PYR|    4 202.00|    1 396.00|    1 410.00|    1 396.00|     2|
|63336647|Guillot, Sabrina    |JUXUE, PYRENEES-ATLANTIQUES, A|   10 193.00|    3 380.00|    3 370.00|    3 443.00|     3|
|63553735|Benoit, Bernard     |TRIEMBACH-AU-VAL, BAS-RHIN, AL|  108 962.00|   32 861.00|   22 587.00|   53 514.00|     5|
|64191580|Leroy, Anne-marie   |SAINT-AIGNY, INDRE, CENTRE    |    7 740.00|    2 610.00|    2 556.00|    2 574.00|     1|
|64447185|Schneider, Kevin    |SAINT-LEGER-MAGNAZEIX, HAUTE-V|    7 247.00|    2 471.00|    2 424.00|    2 352.00|     2|
|64722244|Henry, Virginie     |COADOUT, COTES-D'ARMOR, BRETAG|   19 578.00|    5 950.00|    4 233.00|    9 395.00|     4|
|65657764|Gautier, Melanie    |LA CHAIZE-GIRAUD, VENDEE, PAYS|   13 424.00|    4 394.00|    3 905.00|    5 125.00|     3|
|65916530|Renaud, Lucas       |LE TRONCHET, SARTHE, PAYS     |   35 554.00|   10 882.00|    7 978.00|   16 694.00|     4|
|66041220|Langlois, Francois  |COULOMBS, EURE-ET-LOIR, CENTRE|    3 663.00|    1 227.00|    1 218.00|    1 218.00|     2|
|66624951|Etienne, David      |LA FERRIERE-HARANG, CALVADOS, |   24 495.00|    8 056.00|    8 250.00|    8 189.00|     6|
|66729197|Lemoine, Agnes      |MARCHESIEUX, MANCHE, BASSE-NOR|   25 220.00|    7 566.00|    5 044.00|   12 610.00|     3|
|66743645|Colin, Corinne      |LE RETAIL, DEUX-SEVRES, POITOU|  124 747.00|   37 539.00|   25 503.00|   61 705.00|     5|
|66895471|Fontaine, Philippe  |GLUIRAS, ARDECHE, RHONE-ALPES |   23 332.00|    7 258.00|    5 740.00|   10 334.00|     5|
|67057585|Etienne, Lucie      |HAM-EN-ARTOIS, PAS-DE-CALAIS, |   41 747.00|   12 634.00|    8 767.00|   20 346.00|     2|
|67619898|Renault, Sandrine   |SAINT-BARAING, JURA, FRANCHE-C|    8 607.00|    2 869.00|    2 869.00|    2 869.00|     3|
|67621841|Collin, Chloe       |PAROY-SUR-SAULX, HAUTE-MARNE, |   15 231.00|    5 026.00|    5 026.00|    5 179.00|     6|
|68233533|Bonnet, Florence    |ESPALY-SAINT-MARCEL, HAUTE-LOI|   91 551.00|   27 703.00|   19 038.00|   44 810.00|     4|
|68944821|Leblanc, Michael    |LA CONDAMINE-CHATELARD, ALPES-|   15 268.00|    3 615.00|    5 586.00|    6 067.00|     4|
|69413986|Da Silva, Valerie   |AYSSENES, AVEYRON, MIDI-PYRENE|    9 605.00|    3 035.00|    3 167.00|    3 403.00|     3|
|69636642|Noel, Laetitia      |FLOUDES, GIRONDE, AQUITAINE   |   94 484.00|   29 018.00|   21 570.00|   43 896.00|     7|
|69949299|Mallet, Laure       |GERONCE, PYRENEES-ATLANTIQUES,|  122 264.00|   36 933.00|   25 470.00|   59 861.00|     7|
|70015747|Millet, Jean-Marc   |ROUSSINES, INDRE, CENTRE      |   47 311.00|   14 601.00|   11 214.00|   21 496.00|     3|
|70081647|Dupuis, Quentin     |FLACEY-EN-BRESSE, SAONE-ET-LOI|    5 808.00|    1 936.00|    1 936.00|    1 936.00|     2|
|70272182|Klein, Angelique    |BAILLEUL, NORD, NORD-PAS-DE-CA|    4 420.00|    1 490.00|    1 470.00|    1 460.00|     1|
|70293521|Monnier, Christiane |AUBUSSON-D'AUVERGNE, PUY-DE-DO|   16 606.00|    5 644.00|    5 481.00|    5 481.00|     3|
|70480996|Breton, Florence    |SAINT-GENARD, DEUX-SEVRES, POI|   12 947.00|    4 310.00|    4 310.00|    4 327.00|     3|
|70616243|Lemaire, Genevieve  |PONT-AUDEMER, EURE, HAUTE-NORM|   33 917.00|   10 244.00|    6 999.00|   16 674.00|     2|
|70621833|Lemaitre, Justine   |VILLE-DI-PARASO, HAUTE-CORSE, |    8 467.00|    2 951.00|    2 758.00|    2 758.00|     4|
|70696029|Remy, Stephane      |PRIN-DEYRANCON, DEUX-SEVRES, P|    3 864.00|    1 288.00|    1 288.00|    1 288.00|     2|
|71434187|Henry, Pascal       |ECHENANS-SOUS-MONT-VAUDOIS, HA|  121 834.00|   36 911.00|   26 048.00|   58 875.00|     5|
|72152910|Laurent, Serge      |MEZY-MOULINS, AISNE, PICARDIE |   43 761.00|   13 693.00|   10 830.00|   19 238.00|     3|
|72181194|Tessier, Nicolas    |MARGON, HERAULT, LANGUEDOC-ROU|   10 050.00|    3 361.00|    3 361.00|    3 328.00|     2|
|72795271|Richard, Emma       |SAINT-GEORGES-SUR-BAULCHE, YON|   10 980.00|    3 736.00|    3 661.00|    3 583.00|     4|
|72905457|Mallet, Yves        |ROQUEMAURE, GARD, LANGUEDOC-RO|   37 312.00|   11 474.00|    8 229.00|   17 609.00|     3|
|73603262|Renaud, Herve       |LE QUESNEL-AUBRY, OISE, PICARD|    5 021.00|    1 668.00|    1 685.00|    1 668.00|     1|
|74617565|Faure, Jerome       |ESNANDES, CHARENTE-MARITIME, P|   38 011.00|   11 851.00|    9 195.00|   16 965.00|     4|
|74940374|Schneider, Eric     |CAMPISTROUS, HAUTES-PYRENEES, |   15 874.00|    5 263.00|    5 199.00|    5 412.00|     4|
|75249161|Gerard, Damien      |TAIN-L'HERMITAGE, DROME, RHONE|   22 886.00|    8 267.00|    7 318.00|    7 301.00|     4|
|75268929|Girard, Sabrina     |SAINT-IGNAN, HAUTE-GARONNE, MI|    6 556.00|    2 176.00|    2 204.00|    2 176.00|     3|
|75422940|Rey, Marine         |TAINGY, YONNE, BOURGOGNE      |   46 229.00|   13 893.00|    9 371.00|   22 965.00|     5|
|75648011|Reynaud, Matthieu   |AUXERRE, YONNE, BOURGOGNE     |   12 218.00|    4 216.00|    4 032.00|    3 970.00|     5|
|75653188|Moulin, Georges     |NORROY-LE-VENEUR, MOSELLE, LOR|   32 611.00|   10 311.00|    8 488.00|   13 812.00|     4|
|75655668|Picard, Laure       |NOGENT-SUR-LOIR, SARTHE, PAYS |   54 274.00|   16 383.00|   11 262.00|   26 629.00|     5|
|75996408|Millet, Serge       |VIVIERS, ARDECHE, RHONE-ALPES |    6 828.00|    2 514.00|    2 175.00|    2 139.00|     2|
|76200862|Lemaire, Remi       |LURS, ALPES-DE-HAUTE-PROVENCE,|   27 559.00|    8 731.00|    6 134.00|   12 694.00|     2|
|76292017|Hubert, Matthieu    |VAUCIENNES, OISE, PICARDIE    |   54 009.00|   16 867.00|   13 603.00|   23 539.00|     7|
|76443915|Fontaine, Catherine |BOHAL, MORBIHAN, BRETAGNE     |   81 357.00|   25 039.00|   18 703.00|   37 615.00|     5|
|76750483|Muller, Isabelle    |ESPALEM, HAUTE-LOIRE, AUVERGNE|    2 936.00|    1 004.00|      919.00|    1 013.00|     3|
|77015359|Masson, David       |ANTHEUIL-PORTES, OISE, PICARDI|    3 645.00|    1 213.00|    1 221.00|    1 211.00|     3|
|77196295|Philippe, Justine   |EPPES, AISNE, PICARDIE        |    3 474.00|    1 166.00|    1 150.00|    1 158.00|     1|
|77360698|Durand, Thomas      |MOUDEYRES, HAUTE-LOIRE, AUVERG|   21 091.00|    6 798.00|    7 061.00|    7 232.00|     6|
|77685245|Robert, Fabrice     |DRUELLE, AVEYRON, MIDI-PYRENEE|   72 418.00|   21 841.00|   14 946.00|   35 631.00|     6|
|77859060|Andre, Jeremy       |LA TRINITE-SUR-MER, MORBIHAN, |    1 065.00|      357.00|      354.00|      354.00|     1|
|78250608|Gilbert, Stephane   |VITRY-SUR-SEINE, VAL-DE-MARNE,|    5 966.00|    2 007.00|    1 993.00|    1 966.00|     1|
|78813097|Laurent, Guy        |AUXERRE, YONNE, BOURGOGNE     |   20 810.00|    6 243.00|    4 162.00|   10 405.00|     1|
|78878980|Martinez, Lucie     |SIMANDRES, RHONE, RHONE-ALPES |   19 536.00|    6 542.00|    6 654.00|    6 340.00|     4|
|79127728|Joly, Emma          |ORVAL, MANCHE, BASSE-NORMANDIE|   29 293.00|    9 304.00|    7 735.00|   12 254.00|     6|
|79240926|Noel, Ines          |MONTCHATON, MANCHE, BASSE-NORM|  105 402.00|   31 697.00|   21 385.00|   52 320.00|     5|
|79757352|Menard, Magali      |LASSE, PYRENEES-ATLANTIQUES, A|   18 628.00|    5 922.00|    5 681.00|    7 025.00|     6|
|80321210|Jacquet, Cedric     |FLAGY, HAUTE-SAONE, FRANCHE-CO|   35 283.00|   11 143.00|    8 948.00|   15 192.00|     4|
|80417789|Riviere, Francis    |FONTENOIS-LA-VILLE, HAUTE-SAON|   14 364.00|    4 456.00|    3 461.00|    6 447.00|     4|
|80519477|Leroy, Bernadette   |SAINT-GERMAIN-SUR-SARTHE, SART|    1 091.00|      327.00|      218.00|      546.00|     1|
|80574918|Andre, Lionel       |MARCHAMP, AIN, RHONE-ALPES    |   65 427.00|   19 628.00|   13 085.00|   32 714.00|     2|
|80586047|Roger, Laurence     |SAINT-VERAN, HAUTES-ALPES, PRO|   56 190.00|   16 455.00|   12 284.00|   27 451.00|     6|
|80604740|Blanc, Elisabeth    |LE FRESNE, EURE, HAUTE-NORMAND|  169 478.00|   51 050.00|   34 742.00|   83 686.00|     8|
|81025221|Fabre, Laura        |OSTHOUSE, BAS-RHIN, ALSACE    |    6 017.00|    2 054.00|    1 999.00|    1 964.00|     2|
|81377293|Renaud, Bernadette  |TRUCY-SUR-YONNE, YONNE, BOURGO|   78 568.00|   24 156.00|   17 867.00|   36 545.00|     4|
|81451682|Deschamps, Herve    |GRAINVILLE-SUR-RY, SEINE-MARIT|    8 615.00|    2 852.00|    2 885.00|    2 878.00|     3|
|81524731|Thomas, Jean-Michel |VERCOURT, SOMME, PICARDIE     |    8 785.00|    2 734.00|    2 078.00|    3 973.00|     3|
|81797175|Robin, Aurelie      |PELLEFIGUE, GERS, MIDI-PYRENEE|   53 766.00|   16 130.00|   10 753.00|   26 883.00|     1|
|82038958|Prevost, Jonathan   |TREMEVEN, COTES-D'ARMOR, BRETA|    9 177.00|    2 753.00|    1 835.00|    4 589.00|     1|
|82260226|Carpentier, Antoine |FERVACHES, MANCHE, BASSE-NORMA|   83 065.00|   25 253.00|   17 916.00|   39 896.00|     5|
|82296060|Jacquet, Laurence   |HERICOURT-SUR-THERAIN, OISE, P|   16 852.00|    5 387.00|    4 764.00|    6 701.00|     3|
|82357600|Rey, Sylvie         |LANLEFF, COTES-D'ARMOR, BRETAG|   92 587.00|   28 282.00|   20 384.00|   43 921.00|     8|
|82623679|Fleury, Pauline     |HATTEN, BAS-RHIN, ALSACE      |    8 076.00|    2 790.00|    2 672.00|    2 614.00|     3|
|83928423|Cousin, Danielle    |ZILLING, MOSELLE, LORRAINE    |   62 778.00|   19 157.00|   13 917.00|   29 704.00|     5|
|84644797|Barbier, Dominique  |SAINT-PIERRE-DE-LAGES, HAUTE-G|   15 122.00|    5 268.00|    4 965.00|    4 889.00|     4|
|84727063|Durand, Benoit      |SAINT-MARC-SUR-COUESNON, ILLE-|   21 667.00|    6 554.00|    4 544.00|   10 569.00|     3|
|84892435|Hoarau, Nathalie    |TAIZE-AIZIE, CHARENTE, POITOU-|   14 823.00|    4 447.00|    2 964.00|    7 412.00|     1|
|84914804|Poirier, Anais      |PONT-AUDEMER, EURE, HAUTE-NORM|  105 673.00|   32 520.00|   23 177.00|   49 976.00|     8|
|84925947|Duval, Frederic     |OBERBRUCK, HAUT-RHIN, ALSACE  |   50 725.00|   15 390.00|   13 990.00|   21 345.00|     6|
|85015785|Garcia, Jocelyne    |GUENANGE, MOSELLE, LORRAINE   |    3 557.00|    1 243.00|    1 163.00|    1 151.00|     1|
|85164216|Barthelemy, Jean-Pau|CASTELNAU-D'ANGLES, GERS, MIDI|    7 035.00|    2 389.00|    2 403.00|    2 243.00|     3|
|85421967|Monnier, Christiane |VIOLES, VAUCLUSE, PROVENCE-ALP|   12 719.00|    4 660.00|    4 337.00|    3 722.00|     3|
|85471154|Le Roux, Ines       |MALVES-EN-MINERVOIS, AUDE, LAN|   19 142.00|    6 163.00|    4 853.00|    8 126.00|     3|
|85919817|Blanchard, Annie    |BEUGNY, PAS-DE-CALAIS, NORD-PA|   99 316.00|   29 992.00|   20 702.00|   48 622.00|     5|
|86195997|Herve, Fabienne     |SIN-LE-NOBLE, NORD, NORD-PAS-D|   35 420.00|   10 626.00|    7 084.00|   17 710.00|     2|
|86365491|Grondin, Bernard    |GESTAS, PYRENEES-ATLANTIQUES, |   17 845.00|    5 353.00|    3 569.00|    8 923.00|     1|
|86393366|Dubois, Florian     |SAINTE-COLOMBE, COTE-D'OR, BOU|   32 987.00|    9 896.00|    6 597.00|   16 494.00|     1|
|86942863|Hamon, Amandine     |BOYER, LOIRE, RHONE-ALPES     |  171 920.00|   51 995.00|   35 913.00|   84 012.00|     6|
|86976141|Menard, Remi        |VERNIOZ, ISERE, RHONE-ALPES   |   85 449.00|   26 607.00|   19 119.00|   39 723.00|     6|
|87073870|Perrot, Lucas       |SAINT-QUIRC, ARIEGE, MIDI-PYRE|   17 813.00|    6 176.00|    5 672.00|    5 965.00|     5|
|87298086|Perret, Anne-marie  |MILLIERES, MANCHE, BASSE-NORMA|    9 864.00|    3 333.00|    3 288.00|    3 243.00|     2|
|87452790|Meunier, Nathalie   |AZEVILLE, MANCHE, BASSE-NORMAN|   17 232.00|    5 770.00|    5 744.00|    5 718.00|     5|
|88183579|Huet, Rene          |BONNE, HAUTE-SAVOIE, RHONE-ALP|   11 995.00|    3 812.00|    2 947.00|    5 236.00|     2|
|88579116|Giraud, Danielle    |LA ROUXIERE, LOIRE-ATLANTIQUE,|   33 235.00|   10 151.00|    7 428.00|   15 656.00|     2|
|88604827|Gerard, Delphine    |INCHY, NORD, NORD-PAS-DE-CALAI|    2 832.00|      933.00|      953.00|      946.00|     1|
|88680447|Boucher, Joel       |PORT-SUR-SEILLE, MEURTHE-ET-MO|   42 113.00|   12 848.00|    9 324.00|   19 941.00|     4|
|89057327|Leclerc, Sonia      |DORNECY, NIEVRE, BOURGOGNE    |   22 121.00|    6 966.00|    5 560.00|    9 595.00|     4|
|89501135|Poulain, Morgane    |SAINTE-COLOMBE-DE-DURAS, LOT-E|    3 223.00|    1 016.00|      819.00|    1 388.00|     2|
|89721608|Roux, Fanny         |BUXEUIL, AUBE, CHAMPAGNE-ARDEN|   34 180.00|   10 874.00|    9 557.00|   13 749.00|     8|
|89745557|Antoine, Jean-Claude|PONT-SUR-MEUSE, MEUSE, LORRAIN|   41 507.00|   12 573.00|    8 778.00|   20 156.00|     2|
|89753296|Humbert, Severine   |MARNAY, HAUTE-SAONE, FRANCHE-C|   71 527.00|   21 696.00|   15 040.00|   34 791.00|     5|
|90225645|Perrier, Stephanie  |VIOLAINES, PAS-DE-CALAIS, NORD|    5 331.00|    1 783.00|    1 765.00|    1 783.00|     2|
|90422544|Breton, Eric        |SAINT-MARTIN-SUR-LAVEZON, ARDE|   40 109.00|   12 599.00|    9 606.00|   17 904.00|     6|
|91059838|Lucas, Michael      |SAINT-JEAN-LA-VETRE, LOIRE, RH|   11 547.00|    3 743.00|    3 909.00|    3 895.00|     3|
|91535476|Julien, Emmanuel    |RIMPLAS, ALPES-MARITIMES, PROV|   18 463.00|    5 710.00|    6 377.00|    6 376.00|     6|
|91957440|Charpentier, Sylvain|CAHUZAC, LOT-ET-GARONNE, AQUIT|   69 282.00|   21 833.00|   17 845.00|   29 604.00|     8|
|92067675|Marie, Nicole       |ROCHEJEAN, DOUBS, FRANCHE-COMT|   17 477.00|    5 243.00|    3 495.00|    8 739.00|     1|
|92205978|Richard, Sabrina    |LOUPIAN, HERAULT, LANGUEDOC-RO|   41 661.00|   12 654.00|    8 986.00|   20 021.00|     5|
|92311834|Leger, Herve        |LESGES, AISNE, PICARDIE       |    2 598.00|      866.00|      866.00|      866.00|     1|
|92823410|Bertin, Matthieu    |LES AUTHIEUX, EURE, HAUTE-NORM|    5 936.00|    1 971.00|    1 978.00|    1 987.00|     3|
|92875316|Boulanger, Myriam   |VILLERS-MARMERY, MARNE, CHAMPA|   54 053.00|   16 426.00|   11 659.00|   25 968.00|     4|
|93204204|Antoine, Lucas      |SAINT-GERMAIN-LES-ARPAJON, ESS|   19 087.00|    5 726.00|    3 817.00|    9 544.00|     1|
|93258275|Bertrand, Amelie    |PUISEUX-LE-HAUBERGER, OISE, PI|   62 587.00|   18 776.00|   12 517.00|   31 294.00|     2|
|93281334|Blanchard, Denis    |SAINT-POINT, SAONE-ET-LOIRE, B|    9 409.00|    3 015.00|    3 197.00|    3 197.00|     3|
|93444734|Blanc, Chloe        |MILLAY, NIEVRE, BOURGOGNE     |    5 598.00|    1 866.00|    1 866.00|    1 866.00|     1|
|93446137|Pasquier, Jean-Luc  |ALLIANCELLES, MARNE, CHAMPAGNE|   91 801.00|   28 001.00|   20 054.00|   43 746.00|     5|
|93485852|Roux, Carole        |MARQUAIX, SOMME, PICARDIE     |   12 478.00|    4 169.00|    4 169.00|    4 140.00|     2|
|93609826|Charpentier, Yannick|ROULLOURS, CALVADOS, BASSE-NOR|   12 769.00|    3 972.00|    3 412.00|    5 385.00|     5|
|93620378|Millet, Jacqueline  |SAINTE-FLAIVE-DES-LOUPS, VENDE|    7 580.00|    2 439.00|    2 191.00|    2 950.00|     5|
|93780174|Rousseau, Fabrice   |MONDREVILLE, YVELINES, ILE-DE-|   36 601.00|   10 981.00|    7 322.00|   18 298.00|     2|
|93840301|Simon, Georges      |BOSSELSHAUSEN, BAS-RHIN, ALSAC|   28 209.00|    8 877.00|    7 498.00|   11 834.00|     5|
|94281893|Philippe, Pauline   |RENNEVAL, AISNE, PICARDIE     |    7 374.00|    2 458.00|    2 458.00|    2 458.00|     4|
|94741308|Germain, Laurence   |MARCAY, INDRE-ET-LOIRE, CENTRE|   72 700.00|   21 810.00|   14 540.00|   36 350.00|     2|
|94834225|Brunet, Stephanie   |DOMBLAIN, HAUTE-MARNE, CHAMPAG|  104 220.00|   31 890.00|   23 046.00|   49 284.00|     7|
|94873108|Guerin, Serge       |PLANCHEZ, NIEVRE, BOURGOGNE   |  365 565.00|  109 826.00|   74 951.00|  180 788.00|     9|
|94993822|Menard, Myriam      |GAUDONVILLE, GERS, MIDI-PYRENE|   46 991.00|   14 495.00|   10 826.00|   21 670.00|     3|
|95009814|Bailly, Guy         |PONT-D'AIN, AIN, RHONE-ALPES  |   34 692.00|   10 792.00|    8 098.00|   15 802.00|     3|
|95023773|Michaud, Maryse     |TOURNY, EURE, HAUTE-NORMANDIE |    8 478.00|    2 826.00|    2 826.00|    2 826.00|     2|
|95061842|Simon, Caroline     |SIONNE, VOSGES, LORRAINE      |   53 507.00|   16 332.00|   11 822.00|   25 353.00|     5|
|95108960|Simon, Evelyne      |MOEURS-VERDEY, MARNE, CHAMPAGN|   21 649.00|    6 881.00|    5 962.00|    8 806.00|     4|
|95253813|Moulin, Elodie      |BOYAVAL, PAS-DE-CALAIS, NORD-P|   13 320.00|    4 329.00|    4 237.00|    4 754.00|     4|
|95259534|Julien, Sandra      |JONQUIERES-SAINT-VINCENT, GARD|   24 644.00|    7 562.00|    5 589.00|   11 493.00|     2|
|95296199|Collin, Carole      |LABLACHERE, ARDECHE, RHONE-ALP|    4 507.00|    1 436.00|    1 073.00|    1 998.00|     3|
|95361262|Pelletier, Sandra   |LA PERNELLE, MANCHE, BASSE-NOR|   56 799.00|   17 474.00|   13 060.00|   26 265.00|     4|
|95439545|Muller, Nadine      |BUHL, BAS-RHIN, ALSACE        |   33 268.00|   10 442.00|    8 243.00|   14 583.00|     6|
|95815066|Gilbert, Melanie    |PIERREFIQUES, SEINE-MARITIME, |    3 670.00|    1 230.00|    1 223.00|    1 217.00|     2|
|95946859|Vidal, Josiane      |CHEMILLE, MAINE-ET-LOIRE, PAYS|   14 898.00|    4 591.00|    3 492.00|    6 815.00|     2|
|95960806|Jacob, Joel         |WAVRANS-SUR-TERNOISE, PAS-DE-C|    5 157.00|    1 711.00|    1 723.00|    1 723.00|     2|
|96044785|Dumas, Laure        |FAUX, ARDENNES, CHAMPAGNE-ARDE|  110 183.00|   33 383.00|   23 141.00|   53 659.00|     5|
|96100925|Guerin, Florian     |SEVERAC-L'EGLISE, AVEYRON, MID|   16 472.00|    5 146.00|    4 528.00|    6 798.00|     5|
|96151941|Gillet, Christine   |VIRONVAY, EURE, HAUTE-NORMANDI|   30 832.00|    9 374.00|    6 637.00|   14 821.00|     3|
|96581183|Millet, Laurence    |CELLES-SUR-DUROLLE, PUY-DE-DOM|    4 804.00|    1 574.00|    1 615.00|    1 615.00|     1|
|96939549|Michaud, Delphine   |ANVILLE, CHARENTE, POITOU-CHAR|    6 888.00|    2 291.00|    2 296.00|    2 301.00|     2|
|97105286|Le Roux, Estelle    |AUBEGUIMONT, SEINE-MARITIME, H|   81 704.00|   24 624.00|   16 897.00|   40 183.00|     3|
|97306114|Masson, Melanie     |GAZAX-ET-BACCARISSE, GERS, MID|    6 869.00|    2 299.00|    2 312.00|    2 258.00|     2|
|97944583|Leroy, Andre        |LE BOUSCAT, GIRONDE, AQUITAINE|   27 188.00|    8 373.00|    6 178.00|   12 637.00|     2|
|98078022|Robert, Karine      |PREHY, YONNE, BOURGOGNE       |    4 820.00|    1 609.00|    1 621.00|    1 590.00|     2|
|99722133|Guyot, Hugo         |BOURESCHES, AISNE, PICARDIE   |  100 231.00|   30 086.00|   20 123.00|   50 022.00|     5|
